system:index,LST_Day_1km_max,LST_Day_1km_median,LST_Day_1km_min,LST_Day_1km_stdDev,modis_time,pixel_count,.geo
2015_05_26,30.83000000000004,24.170000000000044,19.890000000000043,2.7187872296301276,1432598400000,40,
2015_05_27,35.690000000000055,24.04000000000002,20.57000000000005,4.079807716057213,1432684800000,40,
2015_05_28,,,,,1432771200000,0,
2015_05_29,36.190000000000055,27.620000000000033,23.010000000000048,3.651881706737065,1432857600000,40,
2015_05_30,,,,,1432944000000,0,
2015_05_31,,,,,1433030400000,0,
2015_06_01,,,,,1433116800000,0,
2015_06_02,14.330000000000041,14.330000000000041,14.330000000000041,0.0,1433203200000,1,
2015_06_03,33.610000000000014,22.400000000000034,19.010000000000048,4.206380225571139,1433289600000,34,
2015_06_04,21.470000000000027,18.650000000000034,18.010000000000048,1.2832832890675525,1433376000000,5,
2015_06_05,34.170000000000016,24.130000000000052,18.99000000000001,4.207238621272459,1433462400000,35,
2015_06_06,38.07000000000005,25.690000000000055,18.55000000000001,5.377305991146976,1433548800000,37,
2015_06_07,37.47000000000003,30.740000000000038,23.55000000000001,3.640843858228406,1433635200000,40,
2015_06_08,48.75000000000006,31.350000000000023,24.910000000000025,6.208759479966941,1433721600000,39,
2015_06_09,36.01000000000005,29.27000000000004,24.77000000000004,2.9843958811642572,1433808000000,35,
2015_06_10,26.350000000000023,24.110000000000014,19.010000000000048,3.0714310815788926,1433894400000,3,
2015_06_11,34.650000000000034,27.900000000000034,24.750000000000057,2.6294515082760834,1433980800000,32,
2015_06_12,43.85000000000002,29.200000000000017,24.150000000000034,5.2133846731274165,1434067200000,40,
2015_06_13,43.09000000000003,29.170000000000044,23.79000000000002,4.96832161474983,1434153600000,38,
2015_06_14,36.99000000000001,29.580000000000013,24.110000000000014,3.4459354222410887,1434240000000,34,
2015_06_15,45.33000000000004,29.81000000000003,24.390000000000043,5.813345336379039,1434326400000,40,
2015_06_16,,,,,1434412800000,0,
2015_06_17,47.43000000000001,30.000000000000057,25.350000000000023,6.2997157872399026,1434499200000,40,
2015_06_18,39.47000000000003,31.680000000000035,27.83000000000004,4.13829995657787,1434585600000,14,
2015_06_19,44.610000000000014,28.750000000000057,22.910000000000025,6.136363156969591,1434672000000,39,
2015_06_20,,,,,1434758400000,0,
2015_06_21,,,,,1434844800000,0,
2015_06_22,45.25000000000006,30.840000000000032,24.390000000000043,5.970992463569154,1434931200000,40,
2015_06_23,38.29000000000002,31.27000000000004,25.250000000000057,3.961095654977089,1435017600000,33,
2015_06_24,48.05000000000001,31.57000000000005,24.850000000000023,6.494735509112997,1435104000000,15,
2015_06_25,44.450000000000045,36.39000000000004,29.170000000000016,4.577816733842875,1435190400000,39,
2015_06_26,52.81,34.31000000000003,26.590000000000032,7.414318729473567,1435276800000,36,
2015_06_27,,,,,1435363200000,0,
2015_06_28,,,,,1435449600000,0,
2015_06_29,51.35000000000002,35.690000000000055,27.350000000000023,6.3497457848237495,1435536000000,39,
2015_06_30,45.55000000000001,34.99000000000001,26.650000000000034,4.878539274674862,1435622400000,33,
2015_07_01,38.910000000000025,30.49000000000001,24.53000000000003,5.669486308299903,1435708800000,4,
2015_07_02,37.27000000000004,35.73000000000005,21.230000000000018,4.926476935904613,1435795200000,8,
2015_07_03,45.170000000000016,35.910000000000025,20.650000000000034,6.940723497350042,1435881600000,15,
2015_07_04,,,,,1435968000000,0,
2015_07_05,,,,,1436054400000,0,
2015_07_06,46.710000000000036,36.55000000000001,24.710000000000036,5.895723341457688,1436140800000,22,
2015_07_07,37.55000000000001,34.13000000000005,21.150000000000034,5.700433667713364,1436227200000,5,
2015_07_08,,,,,1436313600000,0,
2015_07_09,37.210000000000036,28.870000000000005,24.57000000000005,3.9882873316750587,1436400000000,25,
2015_07_10,,,,,1436486400000,0,
2015_07_11,,,,,1436572800000,0,
2015_07_12,,,,,1436659200000,0,
2015_07_13,33.73000000000002,32.10000000000002,16.33000000000004,7.11494729425312,1436745600000,4,
2015_07_14,42.49000000000001,31.640000000000015,23.250000000000057,6.014460158650911,1436832000000,40,
2015_07_15,44.59000000000003,33.06000000000003,23.55000000000001,6.234049727103553,1436918400000,40,
2015_07_16,41.97000000000003,33.39000000000004,23.730000000000018,5.203179788585528,1437004800000,37,
2015_07_17,14.410000000000025,14.410000000000025,14.410000000000025,0.0,1437091200000,1,
2015_07_18,40.63000000000005,32.610000000000014,26.430000000000007,3.282419931219242,1437177600000,39,
2015_07_19,48.59000000000003,33.97000000000003,25.410000000000025,7.060541832574133,1437264000000,38,
2015_07_20,43.43000000000001,35.97000000000003,27.590000000000032,4.371151259210541,1437350400000,37,
2015_07_21,47.23000000000002,37.430000000000035,24.810000000000002,6.849989456601759,1437436800000,30,
2015_07_22,,,,,1437523200000,0,
2015_07_23,37.59000000000003,31.100000000000023,24.210000000000036,4.402212511908069,1437609600000,8,
2015_07_24,46.27000000000004,36.93000000000001,23.950000000000045,5.617506537443112,1437696000000,27,
2015_07_25,37.910000000000025,30.79000000000005,25.33000000000004,4.383447685266365,1437782400000,26,
2015_07_26,45.85000000000002,34.06000000000003,22.150000000000034,6.389260598848669,1437868800000,20,
2015_07_27,33.27000000000004,29.01000000000002,25.07000000000005,2.9498813535463366,1437955200000,20,
2015_07_28,49.25000000000006,31.910000000000025,21.730000000000018,7.558721632347609,1438041600000,39,
2015_07_29,48.51000000000005,36.32000000000002,26.07000000000005,5.77133084738691,1438128000000,40,
2015_07_30,49.13000000000005,37.28000000000003,25.750000000000057,6.6865135692610576,1438214400000,38,
2015_07_31,51.27000000000004,38.22000000000003,24.230000000000018,6.703203552766626,1438300800000,26,
2015_08_01,46.97000000000003,37.77000000000004,27.470000000000027,5.655266644140324,1438387200000,35,
2015_08_02,,,,,1438473600000,0,
2015_08_03,28.930000000000007,26.33000000000004,25.890000000000043,1.0968146922501791,1438560000000,9,
2015_08_04,41.710000000000036,33.57000000000005,24.33000000000004,5.996886795635676,1438646400000,22,
2015_08_05,31.210000000000036,24.870000000000005,23.210000000000036,2.4758127917093984,1438732800000,7,
2015_08_06,43.79000000000002,28.610000000000014,23.690000000000055,6.443576130219605,1438819200000,23,
2015_08_07,36.170000000000016,30.78000000000003,22.27000000000004,4.399072490367714,1438905600000,14,
2015_08_08,39.370000000000005,26.970000000000027,22.370000000000005,5.446732822298141,1438992000000,16,
2015_08_09,44.29000000000002,33.01000000000005,21.730000000000018,6.330652866354739,1439078400000,35,
2015_08_10,41.13000000000005,32.690000000000055,24.950000000000045,4.126224279882243,1439164800000,37,
2015_08_11,46.75000000000006,34.29000000000002,21.27000000000004,6.164324269372783,1439251200000,29,
2015_08_12,39.81,33.210000000000036,24.910000000000025,3.9313305501834868,1439337600000,39,
2015_08_13,47.150000000000034,34.53000000000003,22.690000000000055,6.643610263503787,1439424000000,30,
2015_08_14,35.83000000000004,28.890000000000043,23.170000000000016,4.12211826613455,1439510400000,20,
2015_08_15,41.910000000000025,32.900000000000034,21.410000000000025,5.34861664358178,1439596800000,32,
2015_08_16,47.51000000000005,34.190000000000055,24.27000000000004,6.353534943789737,1439683200000,37,
2015_08_17,41.650000000000034,33.85000000000002,23.610000000000014,4.8151396532836515,1439769600000,33,
2015_08_18,46.650000000000034,34.05000000000001,24.29000000000002,6.723902822395807,1439856000000,39,
2015_08_19,35.610000000000014,28.930000000000007,25.130000000000052,2.2617569781254323,1439942400000,22,
2015_08_20,46.59000000000003,32.81,24.250000000000057,6.753079254786911,1440028800000,39,
2015_08_21,39.370000000000005,32.60000000000002,26.210000000000036,3.463341586978757,1440115200000,34,
2015_08_22,46.610000000000014,33.83000000000001,23.470000000000027,6.312814617511131,1440201600000,36,
2015_08_23,43.190000000000055,33.24000000000004,24.670000000000016,5.304548362804691,1440288000000,36,
2015_08_24,41.57000000000005,32.51000000000005,23.170000000000016,5.344034031002942,1440374400000,33,
