system:index,LST_Night_1km_max,LST_Night_1km_median,LST_Night_1km_min,LST_Night_1km_stdDev,modis_time,pixel_count,.geo
2008_04_09,5.050000000000011,4.080000000000041,-3.349999999999966,1.789422742115458,1207699200000,40,
2008_04_10,-1.9699999999999704,-1.9699999999999704,-1.9699999999999704,0.0,1207785600000,1,
2008_04_11,7.3700000000000045,6.420000000000016,0.8500000000000227,1.4479135851286116,1207872000000,40,
2008_04_12,7.110000000000014,6.260000000000048,2.7100000000000364,1.0058449184640816,1207958400000,40,
2008_04_13,11.370000000000005,10.090000000000032,6.330000000000041,1.1200570297980212,1208044800000,40,
2008_04_14,,,,,1208131200000,0,
2008_04_15,,,,,1208217600000,0,
2008_04_16,7.250000000000057,6.7900000000000205,2.330000000000041,1.2549874788556568,1208304000000,33,
2008_04_17,8.410000000000025,7.150000000000034,2.3500000000000227,1.384026643529667,1208390400000,40,
2008_04_18,9.310000000000002,8.270000000000039,4.710000000000036,1.1153024743875597,1208476800000,32,
2008_04_19,5.350000000000023,4.9500000000000455,3.590000000000032,0.4706072691895617,1208563200000,21,
2008_04_20,5.090000000000032,4.850000000000023,4.610000000000014,0.24000000000000898,1208649600000,2,
2008_04_21,,,,,1208736000000,0,
2008_04_22,5.770000000000039,5.110000000000042,-0.049999999999954525,1.4008479574886084,1208822400000,40,
2008_04_23,,,,,1208908800000,0,
2008_04_24,1.2300000000000182,1.2300000000000182,1.2300000000000182,0.0,1208995200000,1,
2008_04_25,6.270000000000039,5.340000000000032,-0.3699999999999477,1.314204607357621,1209081600000,40,
2008_04_26,4.510000000000048,3.6300000000000523,1.1300000000000523,0.9089064858388852,1209168000000,40,
2008_04_27,9.970000000000027,9.110000000000042,5.990000000000009,0.8326402284300137,1209254400000,40,
2008_04_28,9.050000000000011,7.810000000000002,6.250000000000057,0.7366476430424587,1209340800000,40,
2008_04_29,11.090000000000032,8.520000000000039,5.970000000000027,1.2099395646064295,1209427200000,40,
2008_04_30,7.470000000000027,5.770000000000039,3.0100000000000477,1.298294995828669,1209513600000,34,
2008_05_01,8.170000000000016,7.080000000000041,1.5900000000000318,1.5439996447690951,1209600000000,38,
2008_05_02,8.750000000000057,7.670000000000044,1.5300000000000296,1.6483070102380817,1209686400000,40,
2008_05_03,8.510000000000048,7.430000000000007,5.110000000000014,0.7698902519190737,1209772800000,20,
2008_05_04,10.750000000000057,9.26000000000002,4.730000000000018,1.3339115412950016,1209859200000,40,
2008_05_05,10.07000000000005,8.960000000000036,7.250000000000057,0.6801233344034044,1209945600000,40,
2008_05_06,9.730000000000018,8.450000000000045,6.690000000000055,0.5231781103695807,1210032000000,33,
2008_05_07,7.410000000000025,7.170000000000016,4.690000000000055,0.878815882521416,1210118400000,11,
2008_05_08,12.57000000000005,9.930000000000007,5.390000000000043,2.248710469471379,1210204800000,35,
2008_05_09,10.890000000000043,10.05000000000004,4.510000000000048,1.6493062177776363,1210291200000,40,
2008_05_10,11.590000000000032,10.54000000000002,4.390000000000043,1.492899109116212,1210377600000,40,
2008_05_11,12.750000000000057,11.53000000000003,7.750000000000057,1.0474807874132859,1210464000000,40,
2008_05_12,10.630000000000052,9.510000000000048,3.57000000000005,1.6307816962526591,1210550400000,37,
2008_05_13,12.550000000000011,11.30000000000004,5.210000000000036,1.6864504143318328,1210636800000,40,
2008_05_14,,,,,1210723200000,0,
2008_05_15,14.090000000000032,13.080000000000041,10.930000000000007,0.6751859003267768,1210809600000,40,
2008_05_16,15.79000000000002,14.490000000000009,12.050000000000011,0.7329638463116301,1210896000000,40,
2008_05_17,11.750000000000057,11.090000000000032,10.07000000000005,0.4427651296116366,1210982400000,25,
2008_05_18,14.830000000000041,12.960000000000036,11.250000000000057,0.8300106927022335,1211068800000,40,
2008_05_19,18.690000000000055,16.930000000000035,13.910000000000025,1.120004910703512,1211155200000,40,
2008_05_20,13.010000000000048,13.010000000000048,13.010000000000048,0.0,1211241600000,1,
2008_05_21,14.230000000000018,12.840000000000003,9.910000000000025,0.8594865675292881,1211328000000,26,
2008_05_22,14.750000000000057,13.510000000000048,10.910000000000025,1.0595065371479526,1211414400000,29,
2008_05_23,,,,,1211500800000,0,
2008_05_24,,,,,1211587200000,0,
2008_05_25,,,,,1211673600000,0,
2008_05_26,,,,,1211760000000,0,
2008_05_27,,,,,1211846400000,0,
2008_05_28,,,,,1211932800000,0,
2008_05_29,,,,,1212019200000,0,
2008_05_30,-2.509999999999991,-3.139999999999958,-4.0499999999999545,0.4559963145562613,1212105600000,24,
2008_05_31,,,,,1212192000000,0,
2008_06_01,12.79000000000002,11.650000000000034,8.630000000000052,0.8334829032439507,1212278400000,40,
2008_06_02,10.210000000000036,7.230000000000018,4.830000000000041,1.4720310062789843,1212364800000,21,
2008_06_03,,,,,1212451200000,0,
2008_06_04,12.890000000000043,10.850000000000023,4.250000000000057,2.113833551619085,1212537600000,36,
2008_06_05,13.650000000000034,12.80000000000004,5.730000000000018,1.7910901708177636,1212624000000,40,
2008_06_06,12.53000000000003,11.660000000000025,7.610000000000014,1.5270952000448341,1212710400000,40,
2008_06_07,12.79000000000002,12.220000000000027,5.770000000000039,1.8048390509959633,1212796800000,40,
2008_06_08,12.29000000000002,10.910000000000025,7.710000000000036,0.8530861621196298,1212883200000,40,
2008_06_09,15.490000000000009,13.590000000000032,8.770000000000039,1.2994071725213903,1212969600000,40,
2008_06_10,15.430000000000007,13.630000000000052,9.150000000000034,1.3382741684721908,1213056000000,40,
